domain,logo,label,error
bigcommerce.com,https://www-cdn.bigcommerce.com/assets/logos/bc-logo-dark.svg,JSONLD_LOGO_FOUND,
networksolutions.com,https://networksolutions.com/favicon.ico,FALLBACK_FAVICON_FOUND,
rakuten.co.jp,https://r.r10s.jp/com/inc/home/20080930/spt/common/img/20180701_logo_knowledgegraph_w200_h200.gif,JSONLD_LOGO_FOUND,
icontact.com,https://www.icontact.com/wp-content/uploads/2024/05/icontact-messagebuilder-for-salesforce.png,JSONLD_LOGO_FOUND,
baidu.com,https://psstatic.cdn.bcebos.com/video/wiseindex/aa6eef91f8b5b1a33b454c401_1660835115000.png,FAVICON_FOUND,
vonage.com,https://vonage.com/favicon.ico,FALLBACK_FAVICON_FOUND,
bluehost.com,https://bluehost.com/favicon.ico,FALLBACK_FAVICON_FOUND,
nokia.com,https://www.nokia.com/themes/custom/onenokia_reskin/logo.svg,JSONLD_LOGO_FOUND,
business.com,https://www.business.com/images/branding/logos/block_monogram_navy.jpg,JSONLD_LOGO_FOUND,
8x8.com,https://cpaas.8x8.com/wp-content/uploads/2024/05/Icon-1.png,JSONLD_LOGO_FOUND,
ringcentral.com,https://www.ringcentral.com/content/dam/rc-www/en_us/images/ringcentral-logo.png,JSONLD_LOGO_FOUND,
sonymobile.com,https://sony.scene7.com/is/image/sonyglobalsolutions/apple-touch-icon-114x114,FAVICON_FOUND,
mitel.com,https://mitel.com/favicon.ico,FALLBACK_FAVICON_FOUND,
riverbed.com,https://www.riverbed.com/,JSONLD_LOGO_FOUND,
ning.com,https://www.ning.com/wp-content/uploads/2018/03/cropped-n_flavicon-192x192.png,FAVICON_FOUND,
yandex.ru,https://yandex.ru/favicon.ico,FALLBACK_FAVICON_FOUND,
mycricket.com,https://mycricket.com/favicon.ico,FALLBACK_FAVICON_FOUND,
atdmt.com,,FAILURE,"Cannot connect to host atdmt.com:443 ssl:False [nodename nor servname provided, or not known]"
paltalk.com,https://paltalk.com/favicon.ico,FAVICON_FOUND,
sharefile.com,https://sharefile.com/sites/default/files/favicon.ico,FAVICON_FOUND,
univision.com,https://st1.uvnimg.com/c1/e7/b418a1da4dc8868294190bfb047e/logo-univision.png,JSONLD_LOGO_FOUND,
bluejeans.com,,FAILURE,"Cannot connect to host bluejeans.com:443 ssl:False [nodename nor servname provided, or not known]"
marinsoftware.com,https://cdn.prod.website-files.com/60ffbc3a211dee0d1874db96/651daabd13dbb78417098fa9_marin-webclip.png,FAVICON_FOUND,
gotowebinar.com,https://gotowebinar.com/-/media/images/shared/logos/goto/goat-favicon.ico,FAVICON_FOUND,
campusexplorer.com,https://campusexplorer.com/favicon.ico,FALLBACK_FAVICON_FOUND,
hughesnet.com,https://hughesnet.com/favicon.ico,FALLBACK_FAVICON_FOUND,
animoto.com,https://cdn.sanity.io/images/xcatvyn0/production/c46908ba92d121a390cdeeef240d17e5b70f964e-145x31.svg,JSONLD_LOGO_FOUND,
vzw.com,https://vzw.com/favicon.ico,FALLBACK_FAVICON_FOUND,
peoplesmart.com,https://peoplesmart.com/favicon.ico,FALLBACK_FAVICON_FOUND,
getsatisfaction.com,https://getsatisfaction.com/favicon.ico,FALLBACK_FAVICON_FOUND,
uscellular.com,https://uscellular.com/favicon.ico,FALLBACK_FAVICON_FOUND,
rebtel.com,https://rebtel.com/favicon.ico,FAVICON_FOUND,
mimecast.com,https://assets.mimecast.com/api/public/content/aac7c7d3363d4892b9f909aa59250d04,JSONLD_LOGO_FOUND,
megapath.com,,FAILURE,Cannot connect to host megapath.com:443 ssl:False [[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1006)]
bmc.com,,FAILURE,"Cannot connect to host bmc.com:443 ssl:False [Connect call failed ('204.74.99.100', 443)]"
swagbucks.com,https://static.prdg.io/dist-non-modules/images/apple-touch-icon-167x167.1b567dcb0003489cd724.png,FAVICON_FOUND,
neat.com,https://neat.com/favicon.ico,FAVICON_FOUND,
1and1.com,https://www.ionos.com/modules/frontend-skin-thunder/img/components/header/vi-logo.png,JSONLD_LOGO_FOUND,
aweber.com,https://assets.aweber-static.com/www/assets/img/aw-logo.png,JSONLD_LOGO_FOUND,
greatcall.com,https://greatcall.com/favicon.ico,FALLBACK_FAVICON_FOUND,
terra.com,https://terra.com/favicon.ico,FALLBACK_FAVICON_FOUND,
register.com,https://www.register.com/content/dam/register/favicons/apple-icon-precomposed.png,FAVICON_FOUND,
sproutsocial.com,https://brandfolder.sproutsocial.com/VXTUTVL1/at/8vwz9b7w83rhgfc8xvm8t8/lgo_sprout_lockup.png,JSONLD_LOGO_FOUND,
skype.com,,FAILURE,
motorola.com,https://motorola.com/favicon.ico,FALLBACK_FAVICON_FOUND,
secureserver.net,https://secureserver.net/favicon.ico,FALLBACK_FAVICON_FOUND,
rdio.com,,FAILURE,"Cannot connect to host rdio.com:443 ssl:False [nodename nor servname provided, or not known]"
naver.com,https://s.pstatic.net/static/www/u/2014/0328/mma_204243574.png,FAVICON_FOUND,
mail.com,https://s.uicdn.com/mailint/10.48.0/assets/favicon.ico,FAVICON_FOUND,
weebly.com,https://cdn2.editmysite.com/images/logos/Blue-Logomark2.png,JSONLD_LOGO_FOUND,
airpush.com,https://airpush.com/favicon.ico,FALLBACK_FAVICON_FOUND,
vpweb.com,https://swan.prod.merch.vpsvc.com/v3-assets/favicons/apple-icon-152x152.png,FAVICON_FOUND,
efax.com,https://www.efax.com/,JSONLD_LOGO_FOUND,
tradedoubler.com,https://static.wixstatic.com/media/0241cd_a4ce8eb0347a4685a6cd906881337d6a%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/0241cd_a4ce8eb0347a4685a6cd906881337d6a%7Emv2.png,FAVICON_FOUND,
about.me,https://about.me/s3/h/favicon/favicon_180.60004a0b.png,FAVICON_FOUND,
sugarsync.com,https://sugarsync.com/assets/img/favicons/apple-touch-icon-55dc9a65a0.png,FAVICON_FOUND,
live.com,https://live.com/favicon.ico,FAVICON_FOUND,
globo.com,https://s2-home-globo.glbimg.com/xmG336eFwj2EHo7Ei-N_2Tm_b0s=/192x192/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_9de6fd454d9849c8bee5b63069fbb074/internal_photos/bs/2022/1/9/3otXqRQnKU2P97PTBoMw/logo-1024.png,FAVICON_FOUND,
nextiva.com,https://www.nextiva.com/,JSONLD_LOGO_FOUND,
mylife.com,,FAILURE,
plantronics.com,https://plantronics.com/favicon.ico,FALLBACK_FAVICON_FOUND,
teamtreehouse.com,https://ecs-static.teamtreehouse.com/assets/apple-touch-icon-120x120-precomposed-dda60d87f49aa928ff86379bb50d9514d4b5f19502ff562b453e3d254730f682.png,FAVICON_FOUND,
dishnetwork.com,https://dish.com/content/dam/dish/navelements/dishLogo.svg,JSONLD_LOGO_FOUND,
boingo.com,https://corpsitev2-golden-prod.s3.amazonaws.com/wp-content/uploads/2023/03/cropped-boingo-192x192.png,FAVICON_FOUND,
readytalk.com,https://www.readytalk.com/,JSONLD_LOGO_FOUND,
fonality.com,https://sangoma.com/wp-content/uploads/2024/05/cropped-favicon-180x180.png,FAVICON_FOUND,
one.com,https://webapps.group-cdn.one/cdn-one/images/global/favicon/152.png,FAVICON_FOUND,
kudzu.com,,FAILURE,"Cannot connect to host kudzu.com:443 ssl:False [nodename nor servname provided, or not known]"
zinio.com,https://admin-project-assets.ziniopro.com/99/20190516161716-Zinio_WebTopNavLogo.png,JSONLD_LOGO_FOUND,
whatcounts.com,https://whatcounts.com/favicon.ico,FALLBACK_FAVICON_FOUND,
ifbyphone.com,https://cdn.prod.website-files.com/5d82e225060d003d65ddae98/60a6cc41312729f2e1360120_invoca-glyph.png,FAVICON_FOUND,
compete.com,https://files.efty.com/market/uploads/smartlanders/f1c7854c36f014676ea28fb3fc2cb56f_fav.png,FAVICON_FOUND,
actonsoftware.com,,FAILURE,"Cannot connect to host actonsoftware.com:443 ssl:False [nodename nor servname provided, or not known]"
semrush.com,https://www.semrush.com/__static__/semrush-logo-700.jpg,JSONLD_LOGO_FOUND,
name.com,https://name.com/favicon.ico,FALLBACK_FAVICON_FOUND,
altova.com,https://www.altova.com/images/logo.png,JSONLD_LOGO_FOUND,
ussearch.com,https://ussearch.com/favicon.ico,FALLBACK_FAVICON_FOUND,
android.com,https://android.com/static/img/favicons/152.png,FAVICON_FOUND,
jimdo.com,https://jimdo.com/icons/apple-touch-icon-152x152.png,FAVICON_FOUND,
headsets.com,https://cdn.shopify.com/s/files/1/0553/3171/7282/files/headsets_logo_amz.jpg,JSONLD_LOGO_FOUND,
3dcart.com,https://www.shift4shop.com/images/logo.png,JSONLD_LOGO_FOUND,
twilio.com,https://www.twilio.com/content/dam/twilio-com/core-assets/customer-logos/t-z/twilio.svg,JSONLD_LOGO_FOUND,
gazelle.com,https://buy.gazelle.com/cdn/shop/files/Gazelle_straight_R_color_RGB.svg,JSONLD_LOGO_FOUND,
templatemonster.com,https://www.templatemonster.com,JSONLD_LOGO_FOUND,
hostway.com,https://hostway.com/wp-content/uploads/2021/03/Logo.png,JSONLD_LOGO_FOUND,
verizon.net,,FAILURE,Cannot connect to host verizon.net:443 ssl:False [[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1006)]
tracfone.com,https://tracfone.com/favicon.ico,FALLBACK_FAVICON_FOUND,
prana.com,https://www.prana.com/on/demandware.static/Sites-Prana_US-Site/-/-/images/logo-mask-1.svg,JSONLD_LOGO_FOUND,
infoblox.com,https://www.infoblox.com/,JSONLD_LOGO_FOUND,
houzz.com,https://st.hzcdn.com/static/apple-touch-icon-144x144-precomposed.png,FAVICON_FOUND,
puretalkusa.com,https://puretalkusa.com/favicon.ico,FALLBACK_FAVICON_FOUND,
wirefly.com,https://www.wirefly.com/sites/wirefly.com/themes/wirefly/images/logo.jpg,JSONLD_LOGO_FOUND,
bitly.com,https://bitly.com/pages/,JSONLD_LOGO_FOUND,
comm100.com,https://www.comm100.com/wp-content/uploads/2021/11/image/png/Comm100_Logo.jpg,JSONLD_LOGO_FOUND,
earthlink.net,https://earthlink.net/favicon.ico,FALLBACK_FAVICON_FOUND,
phonepower.com,https://phonepower.com/favicon.ico,FALLBACK_FAVICON_FOUND,
proofpoint.com,https://proofpoint.com/themes/custom/proofpoint/apps/drupal/images/favicons/favicon-180x180.png,FAVICON_FOUND,
newhaven.edu,https://www.newhaven.edu/_resources/images/favicons/apple-touch-icon-180.png,FAVICON_FOUND,
rtrk.com,https://rtrk.com/favicon.ico,FALLBACK_FAVICON_FOUND,
findmespot.com,https://www.findmespot.com:443/getmedia/d1726335-255e-4262-9fdd-6fe71953eab8/favicon-48.png,FAVICON_FOUND,
avangate.com,https://avangate.com/favicon.ico,FALLBACK_FAVICON_FOUND,
namecheap.com,https://namecheap.com/favicon.ico,FALLBACK_FAVICON_FOUND,
lifesize.com,https://www.enghousevideo.com/lifesize,JSONLD_LOGO_FOUND,
rogers.com,https://www.rogers.com/app/prod/assets/i/logo.png,JSONLD_LOGO_FOUND,
rcn.com,https://rcn.com/wp-content/uploads/2021/10/cropped-astound-residential-fav-180x180.png,FAVICON_FOUND,
ipage.com,https://ipage.com/favicon.ico,FALLBACK_FAVICON_FOUND,
